,Churn,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
0,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes
1,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
2,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,Yes
3,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes
4,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No
5,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
6,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No
7,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes
8,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes
9,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes
10,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
11,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No
12,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
13,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
14,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes
15,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes
16,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes
17,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No
18,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes
19,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes
20,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes
21,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No
22,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes
23,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes
24,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No
25,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No
26,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No
27,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
28,Yes,Yes,No,No,Yes,No,No,No,Yes,No,Yes,Yes,No
29,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
30,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes
31,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No
32,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes
33,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
34,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No
35,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes
36,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
37,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes
38,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No
39,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No
40,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes
41,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes
42,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No
43,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes
44,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes
45,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
46,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
47,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
48,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No
49,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes
50,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No
51,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
52,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,Yes
53,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes
54,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes
55,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No
56,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes
57,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
58,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes
59,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes
60,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
61,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
62,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes
63,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No
64,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes
65,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No
66,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes
67,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No
68,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
69,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes
70,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No
71,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes
72,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes
73,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
74,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No
75,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
76,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes
77,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No
78,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes
79,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes
80,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No
81,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No
82,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No
83,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes
84,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
85,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes
86,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes
87,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
88,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes
89,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes
90,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes
91,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes
92,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes
93,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No
94,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes
