,Population,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
8055,0.02137582588418189,0.3333333333333333,0.5211267605633803,0.5203275555296333,0.5489141197716918,0.5,0.5,0.0,0.9366823660634983,0.36868572280406386,0.7960229994831209,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0,0,0,1,1,0,0,0,1,0,0,1
4718,0.5593211555901023,0.3333333333333333,0.22535211267605637,0.33370658626217065,0.3763990120011023,0.5833333333333333,0.0,0.0,0.017548899244211075,0.4875876860348154,0.06810466773790763,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.33333333333333337,0.0,0.33333333333333337,0,1,0,0,0,0,1,1,0,0,1,0
1735,0.005492939499935224,0.16666666666666666,0.676056338028169,0.45076947941545914,0.4228228236678154,0.33333333333333326,0.5,0.0,0.01979345109180835,0.44005602794106213,0.10648728235323887,0.9999999999999999,0.5003663003663003,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.9999999999999999,0.6666666666666666,0,0,0,1,1,0,0,1,0,0,1,0
3478,0.21974349008938981,0.5,0.9718309859154929,0.8392087107467524,0.9157773918143737,0.33333333333333326,0.0,0.0,0.07096419940956408,0.6786296603690146,0.18877091859182274,0.33333333333333337,0.9999999999999999,0.33333333333333337,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,1,0,1,0,0,1,0,1,1,1,0
7107,0.08840523383858012,0.16666666666666666,0.47887323943661975,0.19303015888534128,0.4706989729834044,0.33333333333333326,0.0,0.0,0.8306845659524341,0.428038693917957,0.758064539288043,0.9999999999999999,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.0,0,0,0,0,1,0,0,0,0,1,0,0
9753,0.023215442414820573,0.16666666666666666,0.6338028169014085,0.13433547501634718,0.32766792989623655,0.41666666666666663,0.5,0.0,0.7077639972055356,0.3329656528049637,0.6219243802728824,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0,0,0,1,0,0,0,1,0,1,0,1
4999,0.013784168933799716,0.3333333333333333,0.43661971830985913,0.1623529207998116,0.6243632235865777,0.33333333333333326,0.0,1.0,0.06152263255739392,0.4875543814954766,0.08808174347413336,0.6666666666666666,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.4957059907513647,0.33333333333333337,0.6666666666666666,0,0,1,1,1,0,0,0,1,1,0,0
7941,0.029071123202487368,0.16666666666666666,0.2676056338028169,0.1144787461289181,0.4706859109031291,0.25,0.0,0.0,0.8620352800793125,0.45198037569033356,0.8254567230902378,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.33333333333333337,0,0,0,1,1,0,0,1,1,1,0,0
8104,0.8254178002331908,0.0,0.7042253521126761,0.6146834057319505,0.4394284370757459,0.33333333333333326,0.5,0.0,0.8297345528484084,0.3804745781717225,0.7735326605933249,0.33333333333333337,0.33333333333333337,0.6666666666666666,0.9999999999999999,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0,0,1,1,0,0,0,0,0,1,0
6192,0.13385153517294984,0.16666666666666666,0.07042253521126762,0.39996892805007234,0.6343595072140606,0.5012322062523695,0.5,0.0,0.8479318461066785,0.5114075683490387,0.839015013439753,0.0,0.0,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.0,0.0,0.33333333333333337,0,1,0,1,1,1,1,0,1,1,0,1
