,Techie,Port_modem,Tablet,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling
8055,0,0,0,1,1,0,0,0,1,0,0,1
4718,0,1,0,0,0,0,1,1,0,0,1,0
1735,0,0,0,1,1,0,0,1,0,0,1,0
3478,0,1,0,1,0,0,1,0,1,1,1,0
7107,0,0,0,0,1,0,0,0,0,1,0,0
9753,0,0,0,1,0,0,0,1,0,1,0,1
4999,0,0,1,1,1,0,0,0,1,1,0,0
7941,0,0,0,1,1,0,0,1,1,1,0,0
8104,0,0,0,1,1,0,0,0,0,0,1,0
6192,0,1,0,1,1,1,1,0,1,1,0,1
9602,0,0,0,1,1,0,1,1,1,1,0,1
7831,0,0,1,1,0,0,1,1,1,1,0,0
8087,0,0,0,1,1,1,0,1,1,1,0,0
7747,0,1,0,1,1,0,1,0,1,1,0,1
9500,0,1,0,0,0,0,1,0,1,1,0,1
4775,0,1,0,1,0,0,1,0,0,0,1,0
531,0,1,0,1,1,0,0,0,1,0,1,1
6666,1,1,0,1,1,1,0,0,0,0,1,1
8805,0,0,1,1,1,0,0,0,0,0,1,0
6280,0,1,0,1,1,0,0,0,0,1,1,0
2552,0,1,0,1,0,0,1,0,1,1,1,0
4354,0,1,0,1,1,1,1,1,0,1,1,1
3617,0,0,0,1,0,0,0,0,1,0,0,1
9631,0,1,0,1,1,0,1,0,1,1,0,0
63,0,0,1,1,0,0,0,1,0,0,0,0
2994,0,0,0,1,1,0,1,1,0,0,0,0
462,1,1,0,1,1,0,0,0,0,1,1,0
8012,1,1,0,1,0,0,1,0,0,1,0,0
4395,0,1,0,1,0,0,1,1,0,1,1,0
3706,0,1,0,1,0,1,0,1,0,0,1,1
7,1,0,0,0,0,0,1,0,0,0,0,1
8686,0,0,0,1,1,1,1,1,1,1,0,1
3,1,0,0,1,0,1,0,0,0,1,0,1
2288,0,0,0,1,0,0,0,1,0,0,0,0
9163,0,0,0,1,1,0,0,1,1,1,0,1
9444,0,0,0,1,0,1,0,1,1,1,1,0
3527,0,1,1,0,0,1,1,0,0,1,1,1
3001,1,1,0,1,0,1,0,1,1,0,1,1
5557,0,1,1,0,0,1,0,0,0,1,0,1
314,0,1,0,1,0,0,0,0,1,0,0,0
4452,0,0,0,1,0,0,1,0,0,0,0,1
9220,0,0,1,1,0,0,0,1,0,1,1,1
2484,0,0,0,1,1,1,0,1,0,0,0,0
6066,0,1,0,0,1,0,1,1,1,0,0,1
8960,0,0,0,1,1,1,0,0,0,1,0,0
384,0,1,1,1,0,0,1,1,1,1,0,1
810,1,0,0,1,0,0,1,1,0,0,1,1
8594,0,1,1,1,1,0,0,1,0,1,1,1
405,0,0,0,1,1,1,0,1,0,0,0,1
2175,0,1,0,1,0,1,0,0,0,0,1,0
1048,0,1,1,1,0,1,1,0,1,1,0,0
4051,0,1,0,1,0,0,1,0,1,0,1,1
418,0,1,0,1,1,1,0,1,1,0,1,0
1012,0,0,0,1,0,0,1,0,0,1,0,0
5334,0,0,0,1,1,0,0,1,0,1,0,1
4887,0,1,0,1,0,1,0,0,0,1,1,0
970,1,0,0,1,0,0,1,0,1,1,0,1
8931,0,1,0,1,0,0,1,0,0,0,0,1
5917,0,0,0,0,1,0,1,1,0,1,1,0
5753,1,0,0,1,0,0,1,1,0,0,0,1
7256,0,0,1,1,0,1,0,0,0,1,0,0
9400,0,1,1,1,1,0,1,0,0,0,0,1
8451,1,1,0,1,0,0,1,1,0,0,1,1
2666,0,0,1,1,1,0,1,1,1,1,1,0
2450,1,1,1,1,0,0,0,1,0,0,0,1
321,0,0,1,1,0,1,1,0,1,0,0,0
8921,0,1,0,1,1,0,0,0,0,1,1,1
721,0,1,1,1,1,0,1,0,0,1,1,0
5520,0,1,1,0,1,0,0,1,0,1,1,1
1553,1,0,0,1,1,0,1,0,0,1,0,0
